category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	1/13	168/8847	0.00595238095238095	4.05082417582418	1.53145211557276	0.220738166673968	0.249118788103478	0.20912036842797	IL13RA2	1
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	1/13	193/8847	0.00518134715025907	3.526106018334	1.3610943425387	0.24943941851894	0.277545268492906	0.232982703731553	PROM1	1
Cellular Processes	Cell motility	hsa04814	Motor proteins	1/13	197/8847	0.0050761421319797	3.45450995704803	1.33646104270723	0.253939999806284	0.278628610898562	0.233892105084736	KIF1A	1
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	1/13	212/8847	0.00471698113207547	3.21008708272859	1.24943190575782	0.270596245745906	0.292391835339274	0.245445511344094	ADCY1	1
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	1/13	215/8847	0.00465116279069767	3.16529516994633	1.23295454949648	0.273886022976029	0.292391835339274	0.245445511344094	ADCY1	1
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	1/13	226/8847	0.00442477876106195	3.01123213070116	1.17490848917464	0.285831716797529	0.297114547723747	0.249409946790087	ADCY1	1
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	1/13	226/8847	0.00442477876106195	3.01123213070116	1.17490848917464	0.285831716797529	0.297114547723747	0.249409946790087	ADCY1	1
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	1/13	235/8847	0.00425531914893617	2.89590834697218	1.12996685694447	0.295470248971744	0.303144800893088	0.254471984760354	ADCY1	1
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	1/13	254/8847	0.00393700787401575	2.67928528164749	1.04168252877021	0.315425197294016	0.319469110079836	0.268175268954426	ADCY1	1
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	1/13	368/8847	0.00271739130434783	1.84928929765886	0.638371793240226	0.424605692494221	0.424605692494221	0.356431160921198	GRIK1	1
